"","LastName","value","L1"
"1","Soreide","E",30168768
"2","Amadio","CR",30156643
"3","Nanchahal","J",29983350
"4","Seyhan","H",29857907
"5","Fagernæs","C",29726315
"6","Räisänen","MP",29599391
"7","Stecco","C",29575188
"8","Sanjuan-Cervero","R",29570549
"9","Murphy","LE",29535479
"10","Broekstra","DC",29481401
"11","Schreck","MJ",29421069
"12","Dritsaki","M",29370792
"13","Geraldes","T",29364396
"14","Stepić","N",29350502
"15","Sanjuan-Cerveró","R",29305454
"16","Novoa-Parra","CD",29217349
"17","Banks","JS",29085992
"18","Chisholm","J",29068929
"19","Notarnicola","A",28958137
"20","McMillan","C",28951096
"21","Ng","M",28886342
"22","Parviz","M",28871791
"23","Samargandi","OA",28867249
"24","Costas","B",28854973
"25","Harrison","E",28841903
"26","Nordenskjöld","J",28841617
"27","Yokoi","T",28816972
"28","Haines","A",28692190
"29","Warwick","D",28669261
"30","Thoma","A",28654597
"31","Hwee","YK",28604542
"32","Strömberg","J",28587568
"33","Molenkamp","S",28538569
"34","Auld","T",28505213
"35","Kan","HJ",28505187
"36","Kadhum","M",28490266
"37","Stephen","C",28486091
"38","Skov","ST",28473158
"39","Spindler","N",28444647
"40","Lenze","WP",28423443
"41","Kan","HJ",28418981
"42","Könneker","S",28418979
"43","van Soest","EM",28401820
"44","Grandizio","LC",28389081
"45","Thomas","R",28383356
"46","Unglaub","F",28382393
"47","Langer","MF",28361190
"48","Bear","BJ",28341067
"49","Cochrane","E",28341038
"50","Lauritzson","A",28298365
"51","Lancerotto","L",28283386
"52","Lesiak","AC",28259564
"53","Vesper","US",28243691
"54","Yin","CY",28183220
"55","Sanjuan-Cerveró","R",28181175
"56","Hahn","P",28180912
"57","Hohendorff","B",28175957
"58","Oppermann","J",28175956
"59","Sanjuan-Cerveró","R",28160905
"60","Pillukat","T",28160036
"61","Keller","M",28138723
"62","Hacquebord","JH",28111059
"63","Nordenskjöld","J",28093015
"64","Beltrán","AG",28082850
"65","Lipman","MD",28082837
"66","Lurati","AR",28068478
"67","Denkler","KA",28027258
"68","Roll","SC",28027038
"69","Shubinets","V",28002244
"70","Papadakis","M",27892778
"71","Khurana","S",27885382
"72","Rodrigues","JN",27872343
"73","Herati","AS",27872008
"74","Zhou","C",27835939
"75","Hou","WH",27798003
"76","Honecker","S",27781989
"77","Duquette","S",27760243
"78","Eberlein","B",27428598
"79","Verstreken","F",27682305
"80","Broekstra","DC",27660370
"81","Spyropoulou","GA",27653143
"82","Sanjuan-Cervero","R",27649672
"83","Nand","N",27608694
"84","Degreef","I",29119908
"85","Zhou","C",27556605
"86","Neuwirth","M",27547932
"87","Zhao","JZ",27546441
"88","Ball","C",27526686
"89","Hou","WH",27485041
"90","Radu","L",27483700
"91","Strömberg","J",27473921
"92","Wehrli","M",27469936
